Patología,AUC-ROC (nuestro),AUC-ROC (CheXNet),Diferencia,F1-Score,Avg Precision
Atelectasis,0.7439,0.8094,-0.0655,0.3258,0.3041
Cardiomegaly,0.8879,0.9248,-0.0369,0.2163,0.3215
Effusion,0.8138,0.8638,-0.05,0.461,0.4802
Infiltration,0.6883,0.7345,-0.0462,0.4576,0.3844
Mass,0.7948,0.8676,-0.0728,0.2607,0.2725
Nodule,0.7214,0.7802,-0.0588,0.1915,0.1958
Pneumonia,0.677,0.768,-0.091,0.0648,0.0431
Pneumothorax,0.8377,0.8887,-0.051,0.3652,0.3628
Consolidation,0.7379,0.7901,-0.0522,0.1986,0.1601
Edema,0.8362,0.8878,-0.0516,0.1661,0.1571
Emphysema,0.8864,0.9371,-0.0507,0.2297,0.3351
Fibrosis,0.8218,0.8047,0.0171,0.0809,0.0886
Pleural_Thickening,0.7541,0.7856,-0.0315,0.1502,0.1208
Hernia,0.9122,0.9164,-0.0042,0.1697,0.2944
PROMEDIO,0.7938,0.8399,-0.0461,0.2384,0.2515
